,player_id,player_name,yearDraft,yearCombine,numberPickOverall,position,height,weight,wingspan,reach_standing,standing_vertical,max_vertical,bench_reps,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,body_fat_pct,drafted
493,12187.0,Taj Gray,,2006,,PF-SF,79.25,231.0,84.75,107.0,28.5,33.0,10.0,11.02,3.4499999999999997,,,,6.8,False
494,12188.0,Dan Grunfeld,,2006,,SF-SG,76.75,216.0,78.25,99.0,28.0,33.5,16.0,11.3,3.46,,,,10.4,False
495,12189.0,Matt Haryasz,,2006,,PF-C,81.75,219.0,84.25,107.5,27.5,31.5,10.0,11.34,3.46,,,,9.8,False
496,12190.0,Eric Hicks,,2006,,PF,76.75,238.0,85.5,105.5,30.0,34.0,20.0,12.06,3.34,,,,7.1,False
497,12191.0,Tedric Hill,,2006,,SF-PF,79.75,236.0,85.0,107.0,30.0,36.5,1.0,12.229999999999999,3.24,,,,7.3,False
498,200812.0,Daniel Horton,,2006,,PG-SG,72.5,198.0,79.0,96.5,30.0,36.5,17.0,10.350000000000001,3.16,,,,8.0,False
499,200780.0,Solomon Jones,2006.0,2006,33.0,PF-C,80.5,224.0,88.75,109.0,32.0,39.0,6.0,11.27,3.3,,,,7.4,True
500,200784.0,Bobby Jones,2006.0,2006,37.0,SF-SG,77.75,211.0,81.5,101.5,28.5,34.5,15.0,11.229999999999999,3.2800000000000002,,,,8.0,True
501,12192.0,Viktor Keyru,,2006,,SG-PG,77.25,202.0,81.25,104.0,29.0,34.5,11.0,11.4,3.24,,,,5.5,False
502,12193.0,Marco Killingsworth,,2006,,PF,77.5,266.0,87.0,104.0,28.0,32.0,13.0,11.42,3.34,,,,19.0,False
503,200814.0,Tarence Kinsey,,2006,,SF-SG,76.75,179.0,78.75,100.5,29.0,35.5,5.0,10.67,3.3,,,,4.1,False
504,12194.0,Carl Krauser,,2006,,PG,71.75,190.0,78.25,97.0,26.0,31.0,8.0,11.62,3.38,,,,8.0,False
505,200840.0,Chris McCray,,2006,,SG,75.0,187.0,77.75,96.5,30.5,39.0,1.0,11.46,3.34,,,,9.6,False
506,201019.0,Gerry McNamara,,2006,,PG-SG,71.75,177.0,72.75,92.5,27.0,32.0,3.0,11.28,3.4,,,,12.8,False
507,200822.0,Pops Mensah-Bonsu,,2006,,PF-C,79.5,232.0,84.0,105.5,31.5,36.0,19.0,11.47,3.29,,,,5.8,False
508,200859.0,Paul Miller,,2006,,PF-C,80.5,251.0,84.0,101.5,29.0,35.5,25.0,12.25,3.66,,,,13.8,False
509,200794.0,Paul Millsap,2006.0,2006,47.0,PF,78.25,258.0,85.5,105.5,28.5,32.5,15.0,11.67,3.3,,,,9.7,True
510,201383.0,Dwayne Mitchell,,2006,,SG-SF,74.0,208.0,78.5,98.5,37.5,41.5,17.0,11.450000000000001,3.16,,,,4.5,False
511,200747.0,Adam Morrison,2006.0,2006,3.0,SF,78.5,198.0,82.0,105.0,25.5,30.5,11.0,11.46,3.3699999999999997,,,,6.8,True
512,12195.0,Yemi Nicholson,,2006,,PF-C,79.75,258.0,88.25,107.0,26.5,26.0,8.0,12.57,3.65,,,,17.2,False
513,200786.0,David Noel,2006.0,2006,39.0,SF-SG,76.5,223.0,81.5,100.0,34.5,38.5,20.0,10.54,3.07,,,,6.1,True
514,200779.0,Steve Novak,2006.0,2006,32.0,SF,80.0,216.0,81.5,103.0,24.5,31.0,5.0,11.11,3.3699999999999997,,,,8.1,True
515,200753.0,Patrick O'Bryant,2006.0,2006,9.0,C,83.0,249.0,89.75,113.0,26.5,30.0,13.0,12.68,3.63,,,,10.0,True
516,12196.0,Danilo Pinnock,,2006,,PG-SG,74.75,204.0,79.5,100.5,29.5,35.5,7.0,11.91,3.08,,,,4.6,False
517,200809.0,Chris Quinn,,2006,,PG-SG,72.5,175.0,77.0,94.0,32.0,37.0,7.0,11.25,3.25,,,,5.9,False
518,200810.0,Allan Ray,,2006,,SG,73.0,204.0,80.5,99.5,28.5,35.5,9.0,11.01,3.2,,,,9.8,False
519,200755.0,JJ Redick,2006.0,2006,11.0,SG,76.0,190.0,75.25,97.5,27.5,33.0,6.0,10.94,3.29,,,,7.0,True
520,201015.0,Antywane Robinson,,2006,,SF-PF,78.25,217.0,86.5,105.5,29.0,32.5,12.0,11.729999999999999,3.4,,,,6.9,False
521,200750.0,Brandon Roy,2006.0,2006,6.0,SG-SF,77.25,207.0,80.0,101.0,34.0,40.5,6.0,11.129999999999999,3.27,,,,7.6,True
522,200754.0,Mouhamed Sene,2006.0,2006,10.0,C,83.0,237.0,92.5,113.0,28.5,31.0,7.0,12.52,3.38,,,,6.6,True
523,200759.0,Cedric Simmons,2006.0,2006,15.0,PF-C,80.25,223.0,88.25,108.5,30.5,35.0,15.0,11.05,3.3099999999999996,,,,5.6,True
524,201201.0,Marcus Slaughter,,2006,,PF-SF,79.0,220.0,83.5,104.5,30.0,34.0,9.0,11.56,3.4,,,,8.5,False
525,200783.0,Craig Smith,2006.0,2006,36.0,PF,77.5,259.0,81.5,103.5,30.0,29.5,,11.59,3.4,,,,12.2,True
526,200848.0,Steven Smith,,2006,,SF-PF,79.5,238.0,84.5,104.0,29.5,34.5,15.0,12.08,3.4,,,,7.8,False
527,23033.0,Michael Southhall,,2006,,C,81.5,241.0,88.25,107.5,31.5,37.0,2.0,12.29,3.51,,,,7.9,False
528,12199.0,Frans Steyn,,2006,,C,85.25,280.0,86.25,109.0,28.5,29.5,,11.67,3.38,,,,12.8,False
529,201028.0,Curtis Stinson,,2006,,SG,73.75,208.0,77.0,97.5,28.0,31.5,17.0,10.950000000000001,3.27,,,,6.0,False
530,200748.0,Tyrus Thomas,2006.0,2006,4.0,PF-SF,79.25,217.0,87.0,108.0,34.0,39.5,8.0,11.360000000000001,3.2,,,,5.6,True
531,12200.0,Joah Tucker,,2006,,SF-SG,75.75,224.0,78.5,99.5,29.0,34.0,19.0,11.58,3.3099999999999996,,,,7.0,False
532,12201.0,Ian Vouyoukas,,2006,,C-PF,80.5,267.0,84.75,108.5,23.0,28.0,8.0,13.7,3.72,,,,14.8,False
533,200827.0,Darius Washington,,2006,,PG,71.5,195.0,76.0,96.0,29.0,37.5,9.0,10.709999999999999,3.2600000000000002,,,,9.7,False
534,201228.0,CJ Watson,,2006,,PG,72.5,171.0,78.0,96.0,31.5,34.0,12.0,11.61,3.15,,,,5.2,False
535,200818.0,Justin Williams,,2006,,C-PF,79.25,211.0,85.5,109.0,26.5,31.5,7.0,11.9,3.3099999999999996,,,,6.5,False
536,200749.0,Shelden Williams,2006.0,2006,5.0,PF-C,79.5,258.0,88.25,104.0,29.0,33.5,25.0,11.53,3.59,,,,11.4,True
537,200761.0,Shawne Williams,2006.0,2006,17.0,SF-PF,79.25,227.0,87.0,104.0,32.0,31.0,,10.69,3.3,,,,8.0,True
538,12203.0,Eric Williams,,2006,,C-PF,79.25,285.0,88.25,106.5,28.5,29.0,17.0,11.709999999999999,3.56,,,,13.0,False
539,200766.0,Marcus Williams,2006.0,2006,22.0,PG,74.0,215.0,79.0,97.5,24.5,28.0,4.0,11.3,3.4,,,,12.4,True
540,202124.0,Curtis Withers,,2006,,PF-SF,78.0,227.0,82.0,101.0,35.0,36.5,14.0,11.54,3.1,,,,5.0,False
541,12204.0,Mohamed Abukar,,2007,,SF,80.0,210.0,81.0,103.0,30.5,35.0,15.0,11.78,3.3699999999999997,,,,8.9,False
542,12205.0,Mario Boggan,,2007,,PF,77.0,240.0,86.0,107.0,24.0,26.5,12.0,12.18,3.4499999999999997,,,,9.2,False
543,12206.0,Craig Bradshaw,,2007,,PF,80.0,240.0,85.5,106.5,26.0,28.0,12.0,11.88,3.54,,,,12.1,False
544,201147.0,Corey Brewer,2007.0,2007,7.0,SF-SG,78.0,185.0,80.25,103.0,30.5,36.5,11.0,11.69,3.22,,,,4.2,True
545,201166.0,Aaron Brooks,2007.0,2007,26.0,PG,70.0,161.0,76.0,94.0,32.5,39.5,6.0,10.57,3.2,,,,2.7,True
546,201628.0,Bobby Brown,,2007,,PG,71.0,170.0,76.0,95.5,32.5,41.0,3.0,11.27,3.25,,,,6.6,False
547,201469.0,Russell Carter,,2007,,SG,75.0,221.0,80.5,97.5,33.0,38.5,25.0,11.61,3.29,,,,6.0,False
548,12207.0,Coleman Collins,,2007,,PF,80.0,236.0,86.0,107.0,30.0,35.0,21.0,11.47,,,,,6.2,False
549,201144.0,Mike Conley,2007.0,2007,4.0,PG,71.0,175.0,77.75,94.5,35.5,40.5,13.0,11.629999999999999,3.09,,,,4.2,True
550,201161.0,Daequan Cook,2007.0,2007,21.0,SG,75.0,203.0,80.25,101.5,30.0,34.5,4.0,11.12,3.22,,,,7.0,True
551,12208.0,Ryvon Covile,,2007,,C-PF,79.0,250.0,85.25,107.5,25.0,30.5,19.0,12.52,3.3699999999999997,,,,8.0,False
552,201159.0,Javaris Crittenton,2007.0,2007,19.0,PG,75.0,194.0,77.5,98.0,32.5,38.0,11.0,11.6,3.32,,,,4.5,True
553,201176.0,Jermareo Davidson,2007.0,2007,36.0,PF,81.0,230.0,88.0,109.5,27.0,30.0,7.0,12.629999999999999,3.53,,,,6.9,True
554,12209.0,Justin Doellman,,2007,,PF,80.0,205.0,80.75,105.0,,,19.0,,,,,,7.0,False
555,12210.0,Zabian Dowdell,,2007,,PG,73.0,191.0,82.0,100.0,30.0,33.5,3.0,11.129999999999999,3.29,,,,5.1,False
556,201162.0,Jared Dudley,2007.0,2007,22.0,SF,77.0,219.0,79.0,102.0,28.0,32.0,14.0,11.32,3.4499999999999997,,,,7.1,True
